"","subject","activity","feature","statistic","axis","mean"
"1",1,"laying","fBodyAcc","mean","X",-0.9390990524
"2",1,"laying","fBodyAcc","mean","Y",-0.86706520518
"3",1,"laying","fBodyAcc","mean","Z",-0.8826668762
"4",1,"laying","fBodyAcc","std","X",-0.9244374346
"5",1,"laying","fBodyAcc","std","Y",-0.8336255561
"6",1,"laying","fBodyAcc","std","Z",-0.81289155944
"7",1,"laying","fBodyAccJerk","mean","X",-0.9570738838
"8",1,"laying","fBodyAccJerk","mean","Y",-0.9224626098
"9",1,"laying","fBodyAccJerk","mean","Z",-0.9480609042
"10",1,"laying","fBodyAccJerk","std","X",-0.9641607086
"11",1,"laying","fBodyAccJerk","std","Y",-0.9322178704
"12",1,"laying","fBodyAccJerk","std","Z",-0.9605869872
"13",1,"laying","fBodyGyro","mean","X",-0.850249174586
"14",1,"laying","fBodyGyro","mean","Y",-0.9521914948
"15",1,"laying","fBodyGyro","mean","Z",-0.909302721
"16",1,"laying","fBodyGyro","std","X",-0.8822964508
"17",1,"laying","fBodyGyro","std","Y",-0.9512320494
"18",1,"laying","fBodyGyro","std","Z",-0.9165825082
"19",1,"laying","tBodyAcc","mean","X",0.22159824394
"20",1,"laying","tBodyAcc","mean","Y",-0.0405139534294
"21",1,"laying","tBodyAcc","mean","Z",-0.11320355358
"22",1,"laying","tBodyAcc","std","X",-0.9280564692
"23",1,"laying","tBodyAcc","std","Y",-0.83682740562
"24",1,"laying","tBodyAcc","std","Z",-0.826061401628
"25",1,"laying","tBodyAccJerk","mean","X",0.0810865342
"26",1,"laying","tBodyAccJerk","mean","Y",0.0038382040088
"27",1,"laying","tBodyAccJerk","mean","Z",0.010834236361
"28",1,"laying","tBodyAccJerk","std","X",-0.958482112
"29",1,"laying","tBodyAccJerk","std","Y",-0.9241492736
"30",1,"laying","tBodyAccJerk","std","Z",-0.9548551108
"31",1,"laying","tBodyGyro","mean","X",-0.016553093978
"32",1,"laying","tBodyGyro","mean","Y",-0.064486124088
"33",1,"laying","tBodyGyro","mean","Z",0.14868943626
"34",1,"laying","tBodyGyro","std","X",-0.87354386782
"35",1,"laying","tBodyGyro","std","Y",-0.9510904402
"36",1,"laying","tBodyGyro","std","Z",-0.9082846626
"37",1,"laying","tBodyGyroJerk","mean","X",-0.107270949192
"38",1,"laying","tBodyGyroJerk","mean","Y",-0.04151728689
"39",1,"laying","tBodyGyroJerk","mean","Z",-0.0740501211
"40",1,"laying","tBodyGyroJerk","std","X",-0.9186085208
"41",1,"laying","tBodyGyroJerk","std","Y",-0.9679072436
"42",1,"laying","tBodyGyroJerk","std","Z",-0.9577901596
"43",1,"laying","tGravityAcc","mean","X",-0.24888179828
"44",1,"laying","tGravityAcc","mean","Y",0.70554977346
"45",1,"laying","tGravityAcc","mean","Z",0.4458177198
"46",1,"laying","tGravityAcc","std","X",-0.8968300184
"47",1,"laying","tGravityAcc","std","Y",-0.90772000676
"48",1,"laying","tGravityAcc","std","Z",-0.85236629022
"49",1,"sitting","fBodyAcc","mean","X",-0.979641238723404
"50",1,"sitting","fBodyAcc","mean","Y",-0.944084550425532
"51",1,"sitting","fBodyAcc","mean","Z",-0.959184889148936
"52",1,"sitting","fBodyAcc","std","X",-0.976412313191489
"53",1,"sitting","fBodyAcc","std","Y",-0.917275006382979
"54",1,"sitting","fBodyAcc","std","Z",-0.934469558085106
"55",1,"sitting","fBodyAccJerk","mean","X",-0.986597022553191
"56",1,"sitting","fBodyAccJerk","mean","Y",-0.981579467021277
"57",1,"sitting","fBodyAccJerk","mean","Z",-0.986053092340425
"58",1,"sitting","fBodyAccJerk","std","X",-0.987492994468085
"59",1,"sitting","fBodyAccJerk","std","Y",-0.982513909574468
"60",1,"sitting","fBodyAccJerk","std","Z",-0.988339184893617
"61",1,"sitting","fBodyGyro","mean","X",-0.976161464042553
"62",1,"sitting","fBodyGyro","mean","Y",-0.975838585319149
"63",1,"sitting","fBodyGyro","mean","Z",-0.951315544468085
"64",1,"sitting","fBodyGyro","std","X",-0.977904227021277
"65",1,"sitting","fBodyGyro","std","Y",-0.962345042553192
"66",1,"sitting","fBodyGyro","std","Z",-0.94391784106383
"67",1,"sitting","tBodyAcc","mean","X",0.261237565425532
"68",1,"sitting","tBodyAcc","mean","Y",-0.00130828765170213
"69",1,"sitting","tBodyAcc","mean","Z",-0.104544182255319
"70",1,"sitting","tBodyAcc","std","X",-0.977229008297872
"71",1,"sitting","tBodyAcc","std","Y",-0.922618641914894
"72",1,"sitting","tBodyAcc","std","Z",-0.93958629106383
"73",1,"sitting","tBodyAccJerk","mean","X",0.0774825199574468
"74",1,"sitting","tBodyAccJerk","mean","Y",-0.000619102785106384
"75",1,"sitting","tBodyAccJerk","mean","Z",-0.00336779235021277
"76",1,"sitting","tBodyAccJerk","std","X",-0.986430711276596
"77",1,"sitting","tBodyAccJerk","std","Y",-0.981371965319149
"78",1,"sitting","tBodyAccJerk","std","Z",-0.987910804468085
"79",1,"sitting","tBodyGyro","mean","X",-0.045350056512766
"80",1,"sitting","tBodyGyro","mean","Y",-0.0919241549361702
"81",1,"sitting","tBodyGyro","mean","Z",0.0629313811914894
"82",1,"sitting","tBodyGyro","std","X",-0.977211283191489
"83",1,"sitting","tBodyGyro","std","Y",-0.966473895319149
